StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q33,Q34,Q35,baseline_timer_First Click,baseline_timer_Last Click,baseline_timer_Page Submit,baseline_timer_Click Count,Q30,baseline_learning,main1_timer_First Click,main1_timer_Last Click,main1_timer_Page Submit,main1_timer_Click Count,main2_timer_First Click,main2_timer_Last Click,main2_timer_Page Submit,main2_timer_Click Count,main2_satisficing,main_pre_timer_First Click,main_pre_timer_Last Click,main_pre_timer_Page Submit,main_pre_timer_Click Count,main_pre_prompt_q,prompt_weak_timer_First Click,prompt_weak_timer_Last Click,prompt_weak_timer_Page Submit,prompt_weak_timer_Click Count,prompt_arch_timer_First Click,prompt_arch_timer_Last Click,prompt_arch_timer_Page Submit,prompt_arch_timer_Click Count,prompt_curb_appeal_t_First Click,prompt_curb_appeal_t_Last Click,prompt_curb_appeal_t_Page Submit,prompt_curb_appeal_t_Click Count,prompt_control_timer_First Click,prompt_control_timer_Last Click,prompt_control_timer_Page Submit,prompt_control_timer_Click Count,post_timer_First Click,post_timer_Last Click,post_timer_Page Submit,post_timer_Click Count,post_q,end_timer_First Click,end_timer_Last Click,end_timer_Page Submit,end_timer_Click Count,end_q,Q_TotalDuration,MTurkCode,end_q - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I am age 18 or older.,I have read and understand the information above.,I want to participate in this research.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Are you involved in housing sales and development (e.g. real estate agent, construction worker, interior decorator, architect)?","Have you tried to purchase a house (or condo, townhouse, etc) in the past ten years?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"So.... we need to make sure you've got your mind engaged because we need you to be creative in a minute. Here's our first check: 

On the prior screen you were asked to look at a photograph. Which animals were visible in the photograph (Click all that apply)?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Guidance: Read the following prompt and answer the question as best you can. 

Prompt: Look at the following photograph.

 



 

Task: Please provide at least four sentences describing the house.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Prompt: Look at the following photograph.  



Task: Please provide at least four sentences describing the house.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Thank you for participating in this study. If there are any items you would like to discuss please feel free to do so in the box below. Please do not include anything that is identifiable and private about yourself or others.,Q_TotalDuration,MTurkCode,end_q - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID1""}","{""ImportId"":""QID25_FIRST_CLICK""}","{""ImportId"":""QID25_LAST_CLICK""}","{""ImportId"":""QID25_PAGE_SUBMIT""}","{""ImportId"":""QID25_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26_FIRST_CLICK""}","{""ImportId"":""QID26_LAST_CLICK""}","{""ImportId"":""QID26_PAGE_SUBMIT""}","{""ImportId"":""QID26_CLICK_COUNT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""QID41_FIRST_CLICK""}","{""ImportId"":""QID41_LAST_CLICK""}","{""ImportId"":""QID41_PAGE_SUBMIT""}","{""ImportId"":""QID41_CLICK_COUNT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID19_FIRST_CLICK""}","{""ImportId"":""QID19_LAST_CLICK""}","{""ImportId"":""QID19_PAGE_SUBMIT""}","{""ImportId"":""QID19_CLICK_COUNT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""MTurkCode""}","{""ImportId"":""QID8_TEXT_f7279859fe9545b58e79de53Topics""}"
2019-08-09 18:27:03,2019-08-09 18:31:31,IP Address,67.8.193.168,100,268,True,2019-08-09 18:31:32,R_7PyFaLVVm2CkQp3,,,,,28.902496337890625,-81.2480010986328125,anonymous,EN,Yes,Yes,Yes,5.856,8.736,9.903,2,Definitely not,No,0,0,2.533,0,12.307,25.431,26.503,5,,10.905,53.88,106.098,3,A beautiful brick two story home on a quiet street. The home is surrounded by beautiful shrubery. It has tall trees. A home to make memories with your family. Enjoy the beauty of this home,0,0,38.813,0,,,,,,,,,,,,,2.582,2.582,52.415,1,This is a beautiful Georgian home from the 1700's. The windows are symmetrical on it. It is a two story house surrounded by trees. It is a gated home. You will love this house.,0,0,2.763,0,,268,3565282658,
2019-08-09 21:56:59,2019-08-09 22:04:05,IP Address,108.66.4.224,100,426,True,2019-08-09 22:04:06,R_1n7tlri0cWtte00,,,,,37.250701904296875,-121.83599853515625,anonymous,EN,Yes,Yes,Yes,9.493,11.165,12.769,2,Definitely not,No,0,0,3.232,0,6.984,6.984,7.827,1,,115.884,141.672,163.386,2,This house has a red roof. It has white windows with a bunch of little panes. It has a nice garden and a small tree out front. It is built from bricks.,,,,,,,,,65.62,76.708,163.284,2,,,,,0.79,54.192,56.904,4,The trees don't have any leaves and look a little spooky. The house is a dull brown color. There's a black fence close to the edge of the house. It looks a little bit spooky.,0,0,4.154,0,,426,8794606309,
2019-08-09 23:34:38,2019-08-09 23:36:55,IP Address,98.220.230.70,100,137,True,2019-08-09 23:36:55,R_2VJtZJm9Sby1BcU,,,,,42.0487060546875,-87.8905029296875,anonymous,EN,Yes,Yes,Yes,3.147,3.147,6.356,1,Definitely not,Yes,0.727,0.727,2.356,1,1.437,6.954,7.276,7,,1.037,1.037,26.059,1,"The house is made of brick. The house has red flowers out front. The house is three stories tall. The house has a tree out front. ",,,,,2.152,30.288,32.338,9,,,,,,,,,0.214,0.214,37.571,1,"The house is made of brick. There are two trees in front of the house. There are 12 windows in total in the front of the house. There is a white arch in front of the front door. ",0.995,0.995,4.793,1,,137,3697754242,
2019-08-10 07:46:06,2019-08-10 07:49:14,IP Address,71.207.19.184,100,188,True,2019-08-10 07:49:14,R_3HiE7KR3sDK7VqS,,,,,40.0045928955078125,-76.59470367431640625,anonymous,EN,Yes,Yes,Yes,4.842,6.58,7.53,2,Definitely not,Yes,0,0,3.211,0,5.393,5.393,6.479,1,,5.885,5.885,56.082,1,It is a brick house.  There is beautiful landscaping outside.  The front windows are bay.  The entrance is very unique.,,,,,,,,,0,0,43.511,0,,,,,1.81,1.81,51.147,1,The house seems old and faded.  There isn't much in the way of landscaping needs.  The roof looks old.  It just doesn't seem that appealing.,0,0,2.629,0,,188,4350907867,
2019-08-10 15:03:55,2019-08-10 15:17:21,IP Address,184.90.92.184,100,805,True,2019-08-10 15:17:21,R_AmURQtvL5moSYDL,,,,,28.57269287109375,-80.8206024169921875,anonymous,EN,Yes,Yes,Yes,11.944,26.863,28.666,3,Definitely not,Yes,4.099,9.156,13.976,2,14.294,14.294,17.912,1,,10.023,246.451,248.281,4,"This is a very charming olderbrick home that is nicely landscaped. This home has updated windows and 2 large bay windows for a lot of sunlight. For those cold chilly nights there are 2 fireplaces. This home would be great for a large family or perfect for a bed and breakfast.
",,,,,,,,,,,,,19.784,19.784,98.225,1,8.101,240.855,329.1,5,Very large old style brick home with updated features. This home has a lot of windows to enjoy those nice sunny days. On chilly nights there are 2 fireplaces. This home has been well cared for and has a very modern look to it. The house is fenced in and landscaped.,6.588,6.588,11.06,1,none,805,1704762079,
2019-08-11 17:05:04,2019-08-11 17:10:47,IP Address,24.35.60.167,100,343,True,2019-08-11 17:10:48,R_2axBY3dXHCb18ln,,,,,40.0233001708984375,-83.08589935302734375,anonymous,EN,Yes,Yes,Yes,4.581,10.153,11.159,3,Definitely not,Yes,0,0,6.235,0,5.841,5.841,7.414,1,,5.5,84.613,92.131,2,"This house appears to have a brick exterior. It seems to have three floors, of which the top may be an attic or loft. The building is symmetrical. It has two chimneys.",,,,,6.478,68.831,122.045,16,,,,,,,,,2.795,18.169,75.831,2,"This is a symmetrical house. It has two chimneys, one on each side. There are twelve visible windows on the front of the home. There is a center door. The house has a brick exterior and walls.",0,0,2.285,0,,343,2660013018,
2019-08-11 17:57:48,2019-08-11 18:09:41,IP Address,45.20.239.154,100,712,True,2019-08-11 18:09:41,R_2v8R7ICsJcWd43m,,,,,30.1707000732421875,-95.50189971923828125,anonymous,EN,Yes,Yes,Yes,7.916,11.306,12.768,2,Definitely not,No,0,0,22.133,0,6.748,6.748,11.464,1,,8.607,8.607,108.201,1,"The house is a two story. It has a brick exterior. It has a covered entry way. It also has two fireplaces/chimneys. In the front there are two bay windows. ",0,0,219.789,0,,,,,,,,,,,,,2.452,289.103,291.292,11,"The house is a Georgian style house, which was very popular in the English colonies in the 1700's. The houses are known for their symmetry, which was popular in England at the time and inspired by the Italian Renaissance. Typically they have 5 openings or windows, but this house has 9. It still retains the centered front door of the Georgian style. Also characteristic of the Georgian style, theris a tower at each end of the house. Also typical of the Georgian style, this house is made of brick and has a sloped roof. ",0,0,4.835,0,,712,7895276565,
2019-08-11 20:59:47,2019-08-11 21:13:33,IP Address,108.95.131.70,100,825,True,2019-08-11 21:13:34,R_2XhYRaSqu9DFGA0,,,,,31.837799072265625,-106.53800201416015625,anonymous,EN,Yes,Yes,Yes,4.321,7.112,16.489,2,Definitely not,No,0,0,39.051,0,3.491,3.491,9.203,1,,2.647,239.035,249.025,12,"It's a really nice, large brick house with different colored bricks providing accents. The first floor has two bay windows in front; there are three front-facing windows on the second floor and three dormer windows in the attic. There's discoloration on the roof, and I'm not sure why. There's some kind of aerial on the roof. The house has two chimneys, one on each end. It's hard to see how far back the house goes, but it looks sizeable. Shrubs and red flowers are planted out front, with a couple of grassy areas, too; looks like the back yard has trees.",,,,,92.991,95.943,138.374,2,,,,,,,,,3.147,309.937,320.109,31,"It seems to follow the description of a Georgian-style home. It is a brick building with symmetrically placed, multipane windows. The front door is in the center and has transom window; there's a shallow roof over it. There are three symmetrical dormers. The roof is sloped and has side gables. ",3.671,3.671,10.512,1,,825,5183774209,
