StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q33,Q34,Q35,baseline_timer_First Click,baseline_timer_Last Click,baseline_timer_Page Submit,baseline_timer_Click Count,Q30,baseline_learning,main1_timer_First Click,main1_timer_Last Click,main1_timer_Page Submit,main1_timer_Click Count,main2_timer_First Click,main2_timer_Last Click,main2_timer_Page Submit,main2_timer_Click Count,main2_satisficing,main_pre_timer_First Click,main_pre_timer_Last Click,main_pre_timer_Page Submit,main_pre_timer_Click Count,main_pre_prompt_q,prompt_arch_timer_First Click,prompt_arch_timer_Last Click,prompt_arch_timer_Page Submit,prompt_arch_timer_Click Count,prompt_curb_appeal_t_First Click,prompt_curb_appeal_t_Last Click,prompt_curb_appeal_t_Page Submit,prompt_curb_appeal_t_Click Count,prompt_control_timer_First Click,prompt_control_timer_Last Click,prompt_control_timer_Page Submit,prompt_control_timer_Click Count,post_timer_First Click,post_timer_Last Click,post_timer_Page Submit,post_timer_Click Count,post_q,end_timer_First Click,end_timer_Last Click,end_timer_Page Submit,end_timer_Click Count,end_q,Q_TotalDuration,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I am age 18 or older.,I have read and understand the information above.,I want to participate in this research.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Are you involved in housing sales and development (e.g. real estate agent, construction worker, interior decorator, architect)?","Have you tried to purchase a house (or condo, townhouse, etc) in the past ten years?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"So.... we need to make sure you've got your mind engaged because we need you to be creative in a minute. Here's our first check: 

On the prior screen you were asked to look at a photograph. Which animals were visible in the photograph (Click all that apply)?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Guidance: Read the following prompt and answer the question as best you can. 

Prompt: Look at the following photograph.

 



 

Task: Please provide at least four sentences describing the house.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Prompt: Look at the following photograph.  



Task: Please provide at least four sentences describing the house.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Thank you for participating in this study. If there are any items you would like to discuss please feel free to do so in the box below. Please do not include anything that is identifiable and private about yourself or others.,Q_TotalDuration,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID1""}","{""ImportId"":""QID25_FIRST_CLICK""}","{""ImportId"":""QID25_LAST_CLICK""}","{""ImportId"":""QID25_PAGE_SUBMIT""}","{""ImportId"":""QID25_CLICK_COUNT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID26_FIRST_CLICK""}","{""ImportId"":""QID26_LAST_CLICK""}","{""ImportId"":""QID26_PAGE_SUBMIT""}","{""ImportId"":""QID26_CLICK_COUNT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""QID41_FIRST_CLICK""}","{""ImportId"":""QID41_LAST_CLICK""}","{""ImportId"":""QID41_PAGE_SUBMIT""}","{""ImportId"":""QID41_CLICK_COUNT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID19_FIRST_CLICK""}","{""ImportId"":""QID19_LAST_CLICK""}","{""ImportId"":""QID19_PAGE_SUBMIT""}","{""ImportId"":""QID19_CLICK_COUNT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""MTurkCode""}"
2020-05-12 15:33:24,2020-05-12 15:52:22,IP Address,184.20.223.120,100,1138,True,2020-05-12 15:52:22,R_1OH4N0GoACZpiNf,,,,,35.4264984130859375,-88.64129638671875,anonymous,EN,Yes,Yes,Yes,125.138,127.786,128.851,2,Definitely not,Yes,7.541,7.541,10.514,1,33.958,33.958,34.75,1,,21.543,89.073,95.257,4,"It is a very nice two story brick home. It has plenty of windows for lots of natural lighting. There are beautiful flowerbeds and trees in the yard. There are two bay windows on the ground floor. ",62.766,65.864,189.518,3,,,,,,,,,109.635,109.635,328.279,1,"This is a Georgian style home. You can tell by the way it is symmetrical. It has a classic look about it. Inspiration comes from the Italian Renaissance period. It is a typical Georigian home by it's two stories, brick exterior, and five openings of windows and door on the front lower level. It also has dormer windows coming out of the roof. ",0,0,4.599,0,,1138,2021003328
2020-05-12 15:46:45,2020-05-12 15:56:12,IP Address,174.128.246.10,100,567,True,2020-05-12 15:56:12,R_2urFqP8aEV81MNR,,,,,39.7501068115234375,-104.995697021484375,anonymous,EN,Yes,Yes,Yes,1.197,13.157,18.982,3,A little bit,Yes,0,0,1.367,0,232.298,232.298,233.419,1,,4.138,4.138,42.408,1,"so glamouring and very eye catchy ",,,,,,,,,0,0,48.615,0,92.43,92.43,155.151,1,well built and very beautiful,0,0,8.519,0,,567,9471858995
2020-05-12 15:47:12,2020-05-12 15:58:55,IP Address,184.2.71.99,100,703,True,2020-05-12 15:58:55,R_3mlUXC172mo8J1s,,,,,38.12359619140625,-78.709503173828125,anonymous,EN,Yes,Yes,Yes,6.429,10.9,15.92,2,Definitely not,No,1.856,1.856,6.67,1,5.206,5.206,10.955,1,,4.209,60.713,62.68,3,It is made of brick. The house has two bay windows. It has three attic windows and two chimneys. There are flowers in front.,,,,,47.249,58.101,106.577,3,,,,,3.898,71.444,91.151,3,"This house has lots of windows, and looks immaculate. It is well-maintained and has a fence. This house has three attic windows. This house has a black door.",1.899,1.899,4.876,1,,703,3255234328
2020-05-12 15:52:06,2020-05-12 15:59:03,IP Address,35.137.92.169,100,416,True,2020-05-12 15:59:03,R_5b6D1HhL6IicITL,,,,,28.2987060546875,-82.6902008056640625,anonymous,EN,Yes,Yes,Yes,76.975,203.744,204.806,4,Definitely not,No,1.128,1.128,2.127,1,11.412,28.384,29.431,6,,1.705,50.166,50.679,5,"This is a brick home. It is two stories. There are two fireplaces, one on each end of the home. The front of the house has to big bay widows. ",,,,,,,,,5.353,41.179,42.119,17,1.507,53.18,53.853,5,"This is a two story brick home. The front of the house has many windows and a big front door. There are two chimneys on opposite ends of the home. ",4.421,4.421,9.553,1,,416,6762112928
2020-05-12 15:55:34,2020-05-12 15:59:43,IP Address,174.128.236.98,100,248,True,2020-05-12 15:59:43,R_3m81iNIlKFdsqfM,,,,,39.7501068115234375,-104.995697021484375,anonymous,EN,Yes,Yes,Yes,1.225,25.682,27.15,6,Not really,Yes,0,0,13.781,0,2.568,2.568,4.274,1,,1.251,1.251,68.062,1,extremely beautiful  and lovely,0,0,6.477,0,,,,,,,,,0,0,1.445,0,very fascinating and simple,0,0,5.371,0,,248,1990397614
2020-05-12 15:55:05,2020-05-12 16:03:27,IP Address,98.21.47.204,100,502,True,2020-05-12 16:03:28,R_cS9ZJMYrWiai0Uh,,,,,33.973907470703125,-81.2344970703125,anonymous,EN,Yes,Yes,Yes,7.288,26.222,26.727,4,Definitely yes,No,0,0,9.423,0,11.65,11.65,13.592,1,,8.062,161.529,184.552,5,It is a brick house with a red roof on top of it. It has a small front yard with roses and bushes in front of the windows. It has eight windows three at the top and three in the middle and two larger ones on ground level. It has two chimneys coming out the top of both sides of the house.,,,,,,,,,0,0,46.977,0,0.854,163.726,182.013,2,It is a brick house that is brown in color everywhere even on the roof. It has 12 windows three at the top five in the middle and four on ground level. All the windows have white trim around the outside of them. It has two chimney like things coming out the top of both sides.,2.141,2.141,17.569,1,It was fun and i enjoyed it.,502,347667732
2020-05-12 15:42:20,2020-05-12 16:04:48,IP Address,68.111.135.195,100,1348,True,2020-05-12 16:04:49,R_3QKNty8fiNYr4hb,,,,,33.1365966796875,-117.06109619140625,anonymous,EN,Yes,Yes,Yes,11.981,13.376,13.936,2,Definitely not,No,18.822,18.822,24.359,1,22.232,22.232,22.953,1,,5.415,418.52,430.926,21,"This beautiful house is composed of a complimentary, brick color scheme of red and grey, that will surely catch anyone's attention. This color scheme helps compliment the symmetrical features pertaining to the windows, including the large bay windows for essential sunlight. The lush, green foliage that is part of the property, adds a countryside flair to the overall aesthetic of this marvelous house.    ",,,,,9.634,9.634,128.269,1,,,,,0.983,667.552,667.891,28,"This gorgeous colonial style house is nothing short of amazing. The simple, yet clean exterior allows for an abundance of sunlight to enter the home through the elegant windows. The dark umber door and white window framings express a well-tended look, complimenting the clean yard, suitable for outdoor entertainment. The beautiful, subtle yellow ochre color flows with the surrounding homes and suburban street life.",5.742,5.742,39.817,1,This study was interesting and fun because I was able to express myself through writing. Everything went smoothly without any issues.,1348,4599327743
2020-05-12 15:59:47,2020-05-12 16:08:22,IP Address,173.244.44.86,100,514,True,2020-05-12 16:08:22,R_2YDmOEkHZ6PI855,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Yes,Yes,Yes,11.437,14.542,15.633,2,Definitely yes,Yes,0,0,22.224,0,18.166,18.166,25.817,1,,7.862,53.058,68.3,3,"The house looks neat and beautiful.
the exterior is enough to convince a potential client
the trees are additional features",,,,,24.822,88.302,90.001,4,,,,,26.984,97.12,122.572,7,The door way and the trees,0,0,7.532,0,,514,3517112461
